MI:0001|interaction detect|interaction detection method
MI:0002|participant ident|participant identification method
MI:0003|feature detection|feature detection method
MI:0004|affinity chrom|affinity chromatography technologies
MI:0005|alanine scanning|alanine scanning
MI:0006|anti bait coip|anti bait coimmunoprecipitation
MI:0007|anti tag coip|anti tag coimmunoprecipitation
MI:0008|array technologies|array technologies
MI:0009|bacterial display|bacterial display
MI:0010|beta galactosidase|beta galactosidase complementation
MI:0011|beta lactamase|beta lactamase complementation
MI:0012|bret|bioluminescence resonance energy transfer
MI:0013|biophysical|biophysical
MI:0014|adenylate cyclase|adenylate cyclase complementation
MI:0016|cd|circular dichroism
MI:0017|fluorescence spectr|classical fluorescence spectroscopy
MI:0018|two hybrid|two hybrid
MI:0019|coip|coimmunoprecipitation
MI:0020|tem|transmission electron microscopy
MI:0021|coloc fluoresc probe|colocalization by fluorescent probes cloning
MI:0022|colocalization by im|colocalization by immunostaining
MI:0023|colocalization-visua|colocalization/visualisation technologies
MI:0024|conformational tm|confirmational text mining
MI:0025|copurification|copurification
MI:0026|correlated mutations|correlated mutations
MI:0027|cosedimentation|cosedimentation
MI:0028|solution sedimentati|cosedimentation in solution
MI:0029|density sedimentatio|cosedimentation through density gradients
MI:0030|crosslink|cross-linking studies
MI:0031|protein crosslink|protein cross-linking with a bifunctional reagent
MI:0032|ms protein sequence|de novo protein sequencing by mass spectrometry
MI:0033|deletion analysis|deletion analysis
MI:0034|display technologies|display technologies
MI:0035|docking|docking
MI:0036|domain fusion|domain fusion
MI:0037|domain profile pairs|domain profile pairs
MI:0038|dls|dynamic light scattering
MI:0039|edman degradation|edman degradation
MI:0040|electron microscopy|electron microscopy
MI:0041|endor|electron nuclear double resonance
MI:0042|epr|electron paramagnetic resonance
MI:0043|electron resonance|electron resonance
MI:0045|experimental interac|experimental interaction detection
MI:0046|experimental info|experimental knowledge based
MI:0047|far western blotting|far western blotting
MI:0048|filamentous phage|filamentous phage display
MI:0049|filter binding|filter binding
MI:0050|flag tag|flag tag
MI:0051|fluorescence|fluorescence technologies
MI:0052|fcs|fluorescence correlation spectroscopy
MI:0053|fps|fluorescence polarization spectroscopy
MI:0054|facs|fluorescence-activated cell sorting
MI:0055|fret|fluorescent resonance energy transfer
MI:0056|full dna sequence|full identification by sequencing
MI:0057|gene neighbourhoods|gene neighbourhoods
MI:0058|genome prediction|genome based prediction
